Name,City,State,Longitude,Latitude
Groton New London Airport,GROTON,CT,-72.045097,41.330101
The Ohio State University Airport - Don Scott Field,COLUMBUS,OH,-83.072998,40.0798
Miami Executive Airport,MIAMI,FL,-80.4328,25.6479
Quad City International Airport,MOLINE,IL,-90.5075,41.448502
Idaho Falls Regional Airport,IDAHO FALLS,ID,-112.070999,43.514599
Santa Maria Public Airport Captain G Allan Hancock Field,SANTA MARIA,CA,-120.457001,34.898899
Page Municipal Airport,PAGE,AZ,-111.447716,36.924234
Hartford Brainard Airport,HARTFORD,CT,-72.649398803711,41.736698150635
Elmira Corning Regional Airport,ELMIRA/CORNING,NY,-76.8916015625,42.1599006652832
Glacier Park International Airport,KALISPELL,MT,-114.25599670410156,48.31050109863281
La Crosse Regional Airport,LA CROSSE,WI,-91.256699,43.879002
Tweed New Haven Airport,NEW HAVEN,CT,-72.88680267,41.26369858
Waco Regional Airport,WACO,TX,-97.23049926757812,31.611299514770508
Laughlin Bullhead International Airport,BULLHEAD CITY,AZ,-114.559998,35.157398
The Florida Keys Marathon Airport,MARATHON,FL,-81.051399,24.726101
Cheyenne Regional Jerry Olson Field,CHEYENNE,WY,-104.811997,41.155701
Chicago Rockford International Airport,CHICAGO/ROCKFORD,IL,-89.097198,42.1954
Cape Cod Gateway Airport,HYANNIS,MA,-70.280403,41.6693
San Angelo Regional Mathis Field,SAN ANGELO,TX,-100.49600219726562,31.35770034790039
Punta Gorda Airport,PUNTA GORDA,FL,-81.990501,26.9202
Chicago Executive Airport,CHICAGO/PROSPECT HEIGHTS/WHEELING,IL,-87.901494,42.114222
Portland Hillsboro Airport,PORTLAND,OR,-122.949997,45.540401
Rocky Mountain Metropolitan Airport,DENVER,CO,-105.116997,39.908798
Friday Harbor Airport,FRIDAY HARBOR,WA,-123.024645,48.523654
State College Regional Airport,STATE COLLEGE,PA,-77.84852,40.849374
Igor I Sikorsky Memorial Airport,BRIDGEPORT,CT,-73.126198,41.163502
Modesto City Co-Harry Sham Field,MODESTO,CA,-120.954002,37.625801
Abilene Regional Airport,ABILENE,TX,-99.68190002440001,32.4113006592
Lake Havasu City International Airport,LAKE HAVASU CITY,AZ,-114.358002,34.571098
Truckee Tahoe Airport,TRUCKEE,CA,-120.140562,39.318628
Dutchess County Airport,POUGHKEEPSIE,NY,-73.88420104980469,41.6265983581543
Fulton County Airport Brown Field,ATLANTA,GA,-84.5214004517,33.7790985107
Jacksonville Executive at Craig Airport,JACKSONVILLE,FL,-81.51439666750001,30.3362998962
Oxnard Airport,OXNARD,CA,-119.20700073242,34.200801849365
Athens Ben Epps Airport,ATHENS,GA,-83.325634,33.948842
Lancaster Airport,LANCASTER,PA,-76.29609680175781,40.121700286865234
Salina Municipal Airport,SALINA,KS,-97.6521987915039,38.79100036621094
Spirit of St Louis Airport,ST LOUIS,MO,-90.652,38.662102
Manassas Regional Airport/Harry P. Davis Field,MANASSAS,VA,-77.515404,38.721401
Cedar City Regional Airport,CEDAR CITY,UT,-113.0989990234375,37.70100021362305
Erie International Tom Ridge Field,ERIE,PA,-80.173867,42.083127
Fayetteville Regional Airport - Grannis Field,FAYETTEVILLE,NC,-78.880302,34.991199
Grand Forks International Airport,GRAND FORKS,ND,-97.176102,47.949299
Redding Municipal Airport,REDDING,CA,-122.2929993,40.50899887
Coleman A. Young Municipal Airport,DETROIT,MI,-83.00990295,42.40919876
Destin Executive Airport,DESTIN,FL,-86.471497,30.400101
Durango La Plata County Airport,DURANGO,CO,-107.753998,37.151501
Niagara Falls International Airport,NIAGARA FALLS,NY,-78.946198,43.1073
Ogden Hinckley Airport,OGDEN,UT,-112.0120010376,41.195899963379
Morristown Municipal Airport,MORRISTOWN,NJ,-74.414949,40.799062
Dupage Airport,CHICAGO/WEST CHICAGO,IL,-88.24859619,41.90779877
Jacqueline Cochran Regional Airport,PALM SPRINGS,CA,-116.16000366211,33.62670135498
Columbia Regional Airport,COLUMBIA,MO,-92.219597,38.8181
Abraham Lincoln Capital Airport,SPRINGFIELD,IL,-89.677902,39.844101
Sacramento Mather Airport,SACRAMENTO,CA,-121.297989,38.554744
Brownsville South Padre Island International Airport,BROWNSVILLE,TX,-97.4259033203125,25.90679931640625
Tri Cities Airport,PASCO,WA,-119.119003,46.264702
Worcester Regional Airport,WORCESTER,MA,-71.875702,42.2673
Willow Run Airport,DETROIT,MI,-83.53040314,42.23789978
Stockton Metropolitan Airport,STOCKTON,CA,-121.238079,37.893279
Scholes International At Galveston Airport,GALVESTON,TX,-94.860397,29.265301
Brown Field Municipal Airport,SAN DIEGO,CA,-116.980019,32.572639
St Simons Island Airport,ST SIMONS ISLAND,GA,-81.391296,31.1518
Tyler Pounds Regional Airport,TYLER,TX,-95.40239715576172,32.35409927368164
Castle Airport,MERCED,CA,-120.5680008,37.38050079
Lafayette Regional Airport,LAFAYETTE,LA,-91.987602,30.205299
Lebanon Municipal Airport,LEBANON,NH,-72.30419921880001,43.626098632799994
Lynchburg Regional Airport - Preston Glenn Field,LYNCHBURG,VA,-79.200401,37.326698
Roberts Field,REDMOND,OR,-121.150002,44.254101
Roswell Air Center Airport,ROSWELL,NM,-104.530998,33.301601
Northwest Florida Beaches International Airport,PANAMA CITY BEACH,FL,-85.795414,30.357106
Provo-Utah Lake International Airport,PROVO,UT,-111.723,40.2192
Kingman Airport,KINGMAN,AZ,-113.938004,35.259499
Westfield-Barnes Regional Airport,WESTFIELD,MA,-72.715599,42.157799
Oakland County International Airport,PONTIAC,MI,-83.420097351074,42.665500640869
Dillant Hopkins Airport,KEENE,NH,-72.270798,42.898399
Valley International Airport,HARLINGEN,TX,-97.65440368652344,26.228500366210938
Minot International Airport,MINOT,ND,-101.27999877929688,48.2593994140625
Monroe Regional Airport,MONROE,LA,-92.037697,32.510899
Williamsport Regional Airport,WILLIAMSPORT,PA,-76.92245,41.242126
Wilmington Airport,WILMINGTON,DE,-75.606499,39.678699
Northeast Philadelphia Airport,PHILADELPHIA,PA,-75.010614,40.082406
Floyd Bennett Memorial Airport,GLENS FALLS,NY,-73.6102981567,43.3412017822
Cobb County International Airport-McCollum Field,ATLANTA,GA,-84.59721,34.01316
Rickenbacker International Airport,COLUMBUS,OH,-82.927803,39.813801
Helena Regional Airport,HELENA,MT,-111.983002,46.6068
Laredo International Airport,LAREDO,TX,-99.46160125732422,27.543800354003906
East Texas Regional Airport,LONGVIEW,TX,-94.71150207519531,32.38399887084961
Jack Northrop Field Hawthorne Municipal Airport,HAWTHORNE,CA,-118.334999,33.922798
McClellan Airfield,SACRAMENTO,CA,-121.401001,38.667599
Space Coast Regional Airport,TITUSVILLE,FL,-80.799201965332,28.514799118042
Blythe Airport,BLYTHE,CA,-114.717002869,33.6192016602
Bowman Field,LOUISVILLE,KY,-85.6636962891,38.2280006409
Tulsa Riverside Airport,TULSA,OK,-95.984596,36.0396
Greater Binghamton/Edwin A Link field,BINGHAMTON,NY,-75.97979736,42.20869827
MBS International Airport,FREELAND,MI,-84.082275,43.531913
Memorial Field Airport,HOT SPRINGS,AR,-93.096262,34.4788
Riverside Municipal Airport,RIVERSIDE,CA,-117.445,33.9519
Sugar Land Regional Airport,HOUSTON,TX,-95.65650177002,29.622299194336
Northern Colorado Regional Airport,LOVELAND,CO,-105.011272,40.44969
Norwood Memorial Airport,NORWOOD,MA,-71.1728973389,42.1904983521
Red Bluff Municipal Airport,RED BLUFF,CA,-122.251998901,40.1506996155
Arnold Palmer Regional Airport,LATROBE,PA,-79.4048,40.275902
Allegheny County Airport,PITTSBURGH,PA,-79.930199,40.354401
Montrose Regional Airport,MONTROSE,CO,-107.893997,38.5098
Bowling Green Warren County Regional Airport,BOWLING GREEN,KY,-86.41970062259999,36.964500427199994
Salinas Municipal Airport,SALINAS,CA,-121.60600280762,36.662799835205
Philip Billard Municipal Airport,TOPEKA,KS,-95.622606,39.069899
California Redwood Coast-Humboldt County Airport,ARCATA/EUREKA,CA,-124.109,40.978101
Columbus Metropolitan Airport,COLUMBUS,GA,-84.93890380859375,32.516300201416016
Dubuque Regional Airport,DUBUQUE,IA,-90.709503,42.402
Chippewa Valley Regional Airport,EAU CLAIRE,WI,-91.48429870605469,44.86579895019531
Garden City Regional Airport,GARDEN CITY,KS,-100.723999023,37.9275016785
Manhattan Regional Airport,MANHATTAN,KS,-96.6707992553711,39.14099884033203
North Platte Regional Airport Lee Bird Field,NORTH PLATTE,NE,-100.6839981,41.12620163
Salisbury Ocean City Wicomico Regional Airport,SALISBURY,MD,-75.51029968261719,38.34049987792969
Sioux Gateway Airport / Brigadier General Bud Day Field,SIOUX CITY,IA,-96.382237,42.397605
Hancock County-Bar Harbor Airport,BAR HARBOR,ME,-68.3615036,44.45000076
Imperial County Airport,IMPERIAL,CA,-115.574026,32.83539
Canyonlands Regional Airport,MOAB,UT,-109.754997,38.755001
Mc Minnville Municipal Airport,MC MINNVILLE,OR,-123.1360016,45.19440079
General William J Fox Airfield,LANCASTER,CA,-118.219002,34.7411
Cape May County Airport,WILDWOOD,NJ,-74.9083023071,39.008499145500004
Cavern City Air Terminal,CARLSBAD,NM,-104.26300048828125,32.337501525878906
Saint Paul Downtown Holman Field,SAINT PAUL,MN,-93.060036,44.93479
Shenandoah Valley Regional Airport,WEYERS CAVE,VA,-78.8964,38.263802
Ukiah Municipal Airport,UKIAH,CA,-123.200996,39.125999
Coeur D'Alene Airport - Pappy Boyington Field,COEUR D'ALENE,ID,-116.82,47.7743
Elko Regional Airport,ELKO,NV,-115.79199981689453,40.82490158081055
Boulder City Municipal Airport,BOULDER CITY,NV,-114.858799,35.947161
San Bernardino International Airport,SAN BERNARDINO,CA,-117.235001,34.095402
Tuscaloosa National Airport,TUSCALOOSA,AL,-87.611397,33.2206
Boca Raton Airport,BOCA RATON,FL,-80.107697,26.3785
Stinson Municipal Airport,SAN ANTONIO,TX,-98.471099853516,29.336999893188
Visalia Municipal Airport,VISALIA,CA,-119.392998,36.318699
Alexandria International Airport,ALEXANDRIA,LA,-92.549797,31.3274
Barkley Regional Airport,PADUCAH,KY,-88.7738037109375,37.06079864501953
Rutland - Southern Vermont Regional Airport,RUTLAND,VT,-72.9496,43.5294
Youngstown Warren Regional Airport,YOUNGSTOWN/WARREN,OH,-80.67910004,41.26070023
Brainerd Lakes Regional Airport,BRAINERD,MN,-94.129727,46.402861
Concord-Padgett Regional Airport,CONCORD,NC,-80.709099,35.387798
Rosecrans Memorial Airport,ST JOSEPH,MO,-94.909698486328,39.771900177002
Bremerton National Airport,BREMERTON,WA,-122.76499938965,47.490200042725
Lawrence Municipal Airport,LAWRENCE,MA,-71.1233978271,42.717201232899995
Concord Municipal Airport,CONCORD,NH,-71.50229645,43.20270157
Greenville Downtown Airport,GREENVILLE,SC,-82.350217,34.847903
Grand Strand Airport,NORTH MYRTLE BEACH,SC,-78.72389984130001,33.8116989136
Key Field / Meridian Regional Airport,MERIDIAN,MS,-88.7519,32.3326
Pocatello Regional Airport,POCATELLO,ID,-112.59600067138672,42.9098014831543
Danbury Municipal Airport,DANBURY,CT,-73.482227,41.371656
Marquette/Sawyer International Airport,GWINN,MI,-87.395401,46.3536
Olympia Regional Airport,OLYMPIA,WA,-122.903,46.969399
Tacoma Narrows Airport,TACOMA,WA,-122.577295,47.267407
Conroe-North Houston Regional Airport,HOUSTON,TX,-95.414497,30.351801
Hutchinson Municipal Airport,HUTCHINSON,KS,-97.86060333250002,38.0654983521
Beverly Regional Airport,BEVERLY / DANVERS,MA,-70.916496,42.584202
Barstow Daggett Airport,DAGGETT,CA,-116.7870026,34.85369873
Findlay Airport,FINDLAY,OH,-83.66870117190001,41.013500213600004
Winslow Lindbergh Regional Airport,WINSLOW,AZ,-110.722999573,35.021900177
Reading Regional Airport (Carl A Spaatz Field),READING,PA,-75.965202,40.378502
Arlington Municipal Airport,ARLINGTON,WA,-122.158442,48.161448
Yampa Valley Airport,HAYDEN,CO,-107.218002,40.481201
Merced Regional Macready Field,MERCED,CA,-120.514,37.284698
Yellowstone Airport,WEST YELLOWSTONE,MT,-111.117996,44.6884
Gary Chicago International Airport,GARY,IN,-87.41280364990234,41.61629867553711
Topeka Regional Airport,TOPEKA,KS,-95.663597,38.950901
Smith Reynolds Airport,WINSTON SALEM,NC,-80.22200012207031,36.13370132446289
Delaware County Johnson Field,MUNCIE,IN,-85.395897,40.242298
